"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL_POPULATION","ATTENDING_EARLY_CHILDHOOD","ATTENDING_PRIMARY","ATTENDING_LOWER_SECONDARY","ATTENDING_UPPER_SECONDARY","ATTENDING_OTHER","ATTENDING_LEVEL_NOT_STATED","NOT_ATTENDING_EARLY_CHILDHOOD","NOT_ATTENDING_PRIMARY","NOT_ATTENDING_LOWER_SECONDARY","NOT_ATTENDING_UPPER_SECONDARY","NOT_ATTENDING_OTHER","NOT_ATTENDING_LEVEL_NOT_STATED","NEVER_ATTENDED_SCHOOL","ATTENDANCE_NOT_STATED_EARLY_CHILDHOOD","ATTENDANCE_NOT_STATED_PRIMARY","ATTENDANCE_NOT_STATED_LOWER_SECONDARY","ATTENDANCE_NOT_STATED_UPPER_SECONDARY","ATTENDANCE_NOT_STATED_OTHER","ATTENDANCE_NOT_STATED_LEVEL_NOT_STATED"
"200","DISTRICT","Bajhang","Male","37046","3012","14355","8136","4630","13","106","31","1520","1561","1984","23","25","1608","0","4","1","3","1","33"
"201","DISTRICT","Bajhang","Female","40412","2713","14336","8356","4905","36","119","48","2131","2112","2480","46","24","3072","0","8","0","2","0","24"
"202","DISTRICT","Darchula","Total","46952","3890","16016","10310","6084","18","108","56","2065","2883","3901","60","32","1477","0","8","1","1","0","42"
"203","DISTRICT","Darchula","Male","22823","1985","8113","5081","3133","8","50","25","871","1199","1679","18","10","625","0","2","1","0","0","23"
"204","DISTRICT","Darchula","Female","24129","1905","7903","5229","2951","10","58","31","1194","1684","2222","42","22","852","0","6","0","1","0","19"
"205","DISTRICT","Baitadi","Total","88486","6118","31463","19450","12448","48","300","69","3582","4241","7406","98","78","3041","1","24","1","3","0","115"
"206","DISTRICT","Baitadi","Male","42414","3242","15841","9703","6134","14","160","28","1387","1670","2964","32","27","1144","0","11","0","2","0","55"
"207","DISTRICT","Baitadi","Female","46072","2876","15622","9747","6314","34","140","41","2195","2571","4442","66","51","1897","1","13","1","1","0","60"
"208","DISTRICT","Dadeldhura","Total","50895","3878","17475","10900","6061","13","55","44","2690","4207","4172","58","28","1257","0","10","0","2","0","45"
"209","DISTRICT","Dadeldhura","Male","24695","2088","9039","5498","2969","2","22","24","1114","1722","1639","23","15","513","0","5","0","1","0","21"
"210","DISTRICT","Dadeldhura","Female","26200","1790","8436","5402","3092","11","33","20","1576","2485","2533","35","13","744","0","5","0","1","0","24"
"211","DISTRICT","Doti","Total","85411","7038","30989","17066","8425","42","213","94","5808","5502","4411","101","68","5580","1","11","1","1","0","60"
"212","DISTRICT","Doti","Male","40246","3772","15669","8412","4120","14","109","50","2193","2217","1661","28","26","1937","0","7","1","1","0","29"
"213","DISTRICT","Doti","Female","45165","3266","15320","8654","4305","28","104","44","3615","3285","2750","73","42","3643","1","4","0","0","0","31"
"214","DISTRICT","Achham","Total","96356","7807","35859","20171","10480","105","147","114","5345","5182","5945","225","92","4735","2","22","3","2","0","120"
"215","DISTRICT","Achham","Male","45481","4057","17759","9831","4956","25","60","49","2287","2181","2377","67","39","1729","0","9","3","1","0","51"
"216","DISTRICT","Achham","Female","50875","3750","18100","10340","5524","80","87","65","3058","3001","3568","158","53","3006","2","13","0","1","0","69"
"217","DISTRICT","Kailali","Total","305052","30334","96436","60298","34852","186","828","474","17198","25741","29472","535","357","7930","6","77","9","11","1","307"
"218","DISTRICT","Kailali","Male","152543","16580","50573","30195","16743","68","420","240","8739","12707","12227","216","150","3481","1","32","5","5","0","161"
"219","DISTRICT","Kailali","Female","152509","13754","45863","30103","18109","118","408","234","8459","13034","17245","319","207","4449","5","45","4","6","1","146"
"220","DISTRICT","Kanchanpur","Total","168999","17022","54493","35147","18706","89","424","209","8950","13149","16362","201","279","3815","4","33","1","8","0","107"
"221","DISTRICT","Kanchanpur","Male","84165","9511","29043","17672","8960","28","205","98","4403","6118","6222","68","111","1644","2","17","0","3","0","60"
"222","DISTRICT","Kanchanpur","Female","84834","7511","25450","17475","9746","61","219","111","4547","7031","10140","133","168","2171","2","16","1","5","0","47"
"1","NATIONAL","Nepal","Total","9307538","870588","3020749","1710051","937149","11423","21150","11206","606513","707756","628370","12929","8423","751996","162","1175","175","237","66","7420"
"2","NATIONAL","Nepal","Male","4690548","472110","1572265","873629","477060","6116","10869","5797","310242","359756","273276","5127","3776","315788","77","588","88","121","39","3824"
"3","NATIONAL","Nepal","Female","4616990","398478","1448484","836422","460089","5307","10281","5409","296271","348000","355094","7802","4647","436208","85","587","87","116","27","3596"
"4","URBAN_RURAL","Urban Municipalities","Total","5831489","578238","1905951","1079850","594863","8474","13075","6986","351716","420814","384308","8265","5236","468488","112","666","102","145","47","4153"
"5","URBAN_RURAL","Urban Municipalities","Male","2967624","316263","1001961","557731","305014","4813","6774","3629","182288","217247","165702","3343","2420","197734","51","347","53","71","27","2156"
"6","URBAN_RURAL","Urban Municipalities","Female","2863865","261975","903990","522119","289849","3661","6301","3357","169428","203567","218606","4922","2816","270754","61","319","49","74","20","1997"
"7","URBAN_RURAL","Rural Municipalities","Total","3476049","292350","1114798","630201","342286","2949","8075","4220","254797","286942","244062","4664","3187","283508","50","509","73","92","19","3267"
"8","URBAN_RURAL","Rural Municipalities","Male","1722924","155847","570304","315898","172046","1303","4095","2168","127954","142509","107574","1784","1356","118054","26","241","35","50","12","1668"
"9","URBAN_RURAL","Rural Municipalities","Female","1753125","136503","544494","314303","170240","1646","3980","2052","126843","144433","136488","2880","1831","165454","24","268","38","42","7","1599"
"10","ECOLOGICAL_BELT","Mountain","Total","611511","49037","211161","125609","73761","646","1810","598","35009","40819","40611","877","519","30199","2","82","3","16","8","744"
"11","ECOLOGICAL_BELT","Mountain","Male","303691","25699","106894","62523","36656","318","916","262","17899","20359","18872","371","242","12250","2","34","2","8","6","378"
"12","ECOLOGICAL_BELT","Mountain","Female","307820","23338","104267","63086","37105","328","894","336","17110","20460","21739","506","277","17949","0","48","1","8","2","366"
"13","ECOLOGICAL_BELT","Hill","Total","3339748","297244","1145336","692291","378085","5242","8790","3378","198861","267909","233164","3964","3398","97480","95","603","117","128","25","3638"
"14","ECOLOGICAL_BELT","Hill","Male","1697315","159958","596338","352123","189187","3357","4513","1700","104866","134832","100803","1711","1579","43988","44","295","60","72","19","1870"
"15","ECOLOGICAL_BELT","Hill","Female","1642433","137286","548998","340168","188898","1885","4277","1678","93995","133077","132361","2253","1819","53492","51","308","57","56","6","1768"
"16","ECOLOGICAL_BELT","Tarai","Total","5356279","524307","1664252","892151","485303","5535","10550","7230","372643","399028","354595","8088","4506","624317","65","490","55","93","33","3038"
"17","ECOLOGICAL_BELT","Tarai","Male","2689542","286453","869033","458983","251217","2441","5440","3835","187477","204565","153601","3045","1955","259550","31","259","26","41","14","1576"
"18","ECOLOGICAL_BELT","Tarai","Female","2666737","237854","795219","433168","234086","3094","5110","3395","185166","194463","200994","5043","2551","364767","34","231","29","52","19","1462"
"19","PROVINCE","Koshi","Total","1476141","142970","489046","277460","146072","712","2111","1184","91939","125531","126749","1312","857","70001","1","6","0","0","9","181"
"20","PROVINCE","Koshi","Male","746496","75731","251085","141197","73534","418","1165","600","50211","66258","54427","545","369","30858","1","4","0","0","5","88"
"21","PROVINCE","Koshi","Female","729645","67239","237961","136263","72538","294","946","584","41728","59273","72322","767","488","39143","0","2","0","0","4","93"
"22","PROVINCE","Madhesh","Total","2363188","216130","697109","349960","197629","2902","3707","2917","158135","141626","124547","3854","1262","462785","6","51","2","7","7","552"
"23","PROVINCE","Madhesh","Male","1181783","119463","363870","182031","107314","1259","2009","1615","79477","74551","57061","1444","546","190796","2","32","1","5","3","304"
"24","PROVINCE","Madhesh","Female","1181405","96667","333239","167929","90315","1643","1698","1302","78658","67075","67486","2410","716","271989","4","19","1","2","4","248"
"25","PROVINCE","Bagmati","Total","1481092","145873","507674","304956","160570","3957","2434","1265","97300","117904","85966","2215","1304","49487","1","6","1","0","15","164"
"26","PROVINCE","Bagmati","Male","776374","79487","267991","157525","81225","2838","1323","685","54717","65215","39925","1080","663","23594","1","3","1","0","10","91"
"27","PROVINCE","Bagmati","Female","704718","66386","239683","147431","79345","1119","1111","580","42583","52689","46041","1135","641","25893","0","3","0","0","5","73"
"28","PROVINCE","Gandaki","Total","643902","61935","221537","136828","78521","538","3223","1032","32714","49935","41355","494","938","11903","87","321","87","103","16","2335"
"29","PROVINCE","Gandaki","Male","330832","33848","117393","70433","39926","241","1679","519","17417","23905","17533","218","465","5708","43","168","40","57","13","1226"
"30","PROVINCE","Gandaki","Female","313070","28087","104144","66395","38595","297","1544","513","15297","26030","23822","276","473","6195","44","153","47","46","3","1109"
"31","PROVINCE","Lumbini","Total","1737700","168971","557392","309088","161324","2087","4828","3000","144307","160894","120825","2981","2331","97167","43","418","49","63","12","1920"
"32","PROVINCE","Lumbini","Male","867126","91359","290856","156875","80477","863","2338","1529","69834","77866","51188","1055","1003","40619","21","215","25","28","4","971"
"33","PROVINCE","Lumbini","Female","870574","77612","266536","152213","80847","1224","2490","1471","74473","83028","69637","1926","1328","56548","22","203","24","35","8","949"
"34","PROVINCE","Karnali","Total","630426","48694","216721","130090","79315","637","2301","614","30425","44657","49078","626","696","25018","10","161","18","29","5","1331"
"35","PROVINCE","Karnali","Male","311599","25824","110595","65228","39464","307","1109","280","14955","21459","20740","265","309","10285","6","72","10","14","3","674"
"36","PROVINCE","Karnali","Female","318827","22870","106126","64862","39851","330","1192","334","15470","23198","28338","361","387","14733","4","89","8","15","2","657"
"37","PROVINCE","Sudur Paschim","Total","975089","86015","331270","201669","113718","590","2546","1194","51693","67209","79850","1447","1035","35635","14","212","18","35","2","937"
"38","PROVINCE","Sudur Paschim","Male","492000","44000","168000","102000","58000","300","1300","600","26000","34000","40000","700","520","18000","7","106","9","18","1","470"
"39","PROVINCE","Sudur Paschim","Female","483089","42015","163270","99669","55718","290","1246","594","25693","33209","39850","747","515","17635","7","106","9","17","1","467"
"40","DISTRICT","Taplejung","Total","40175","2888","12748","7814","4472","13","71","43","2429","3910","4623","37","34","1093","0","0","0","0","0","0"
"41","DISTRICT","Taplejung","Male","20618","1507","6418","3959","2265","6","45","21","1500","2143","2142","17","21","574","0","0","0","0","0","0"
"42","DISTRICT","Taplejung","Female","19557","1381","6330","3855","2207","7","26","22","929","1767","2481","20","13","519","0","0","0","0","0","0"
"43","DISTRICT","Sankhuwasabha","Total","51650","4312","17070","10257","5402","12","87","21","3897","5253","3781","42","34","1473","0","0","0","0","3","6"
"44","DISTRICT","Sankhuwasabha","Male","26576","2262","8803","5194","2793","6","48","7","2323","2591","1779","16","15","731","0","0","0","0","2","6"
"45","DISTRICT","Sankhuwasabha","Female","25074","2050","8267","5063","2609","6","39","14","1574","2662","2002","26","19","742","0","0","0","0","1","0"
"46","DISTRICT","Solukhumbu","Total","32508","2486","11155","6791","3579","56","98","21","2548","2787","1976","56","9","942","0","2","0","0","0","2"
"47","DISTRICT","Solukhumbu","Male","16798","1269","5770","3417","1801","40","75","14","1514","1469","945","27","4","451","0","2","0","0","0","0"
"48","DISTRICT","Solukhumbu","Female","15710","1217","5385","3374","1778","16","23","7","1034","1318","1031","29","5","491","0","0","0","0","0","2"
"49","DISTRICT","Okhaldhunga","Total","41919","2780","13552","8846","5596","35","57","24","2796","3426","3253","67","32","1453","0","1","0","0","0","1"
"50","DISTRICT","Okhaldhunga","Male","21168","1416","6896","4444","2754","20","28","10","1515","1833","1548","24","14","664","0","1","0","0","0","1"
"51","DISTRICT","Okhaldhunga","Female","20751","1364","6656","4402","2842","15","29","14","1281","1593","1705","43","18","789","0","0","0","0","0","0"
"52","DISTRICT","Khotang","Total","58352","4187","18798","12054","7142","33","84","41","3167","4650","6153","28","17","1995","0","0","0","0","0","3"
"53","DISTRICT","Khotang","Male","29613","2191","9474","6044","3567","17","52","15","1827","2432","2976","6","7","1004","0","0","0","0","0","1"
"54","DISTRICT","Khotang","Female","28739","1996","9324","6010","3575","16","32","26","1340","2218","3177","22","10","991","0","0","0","0","0","2"
"55","DISTRICT","Bhojpur","Total","50770","3704","16595","10242","4944","20","85","25","3269","5011","5617","27","29","1196","0","0","0","0","0","6"
"56","DISTRICT","Bhojpur","Male","25919","1866","8388","5185","2562","9","44","11","1936","2580","2728","8","14","585","0","0","0","0","0","3"
"57","DISTRICT","Bhojpur","Female","24851","1838","8207","5057","2382","11","41","14","1333","2431","2889","19","15","611","0","0","0","0","0","3"
"58","DISTRICT","Dhankuta","Total","42588","3746","14023","8548","4518","7","53","21","2121","4308","4439","38","22","736","0","0","0","0","0","8"
"59","DISTRICT","Dhankuta","Male","22007","1993","7224","4309","2313","3","26","10","1296","2415","2006","23","13","373","0","0","0","0","0","3"
"60","DISTRICT","Dhankuta","Female","20581","1753","6799","4239","2205","4","27","11","825","1893","2433","15","9","363","0","0","0","0","0","5"
"61","DISTRICT","Terhathum","Total","25635","2174","8681","5032","2956","5","34","14","1113","2167","2879","13","9","551","0","1","0","0","0","6"
"62","DISTRICT","Terhathum","Male","13094","1131","4381","2574","1529","2","16","6","653","1173","1329","5","2","288","0","1","0","0","0","4"
"63","DISTRICT","Terhathum","Female","12541","1043","4300","2458","1427","3","18","8","460","994","1550","8","7","263","0","0","0","0","0","2"
"64","DISTRICT","Panchthar","Total","52803","4481","16692","10471","5769","5","97","30","2415","5540","6292","29","33","942","0","0","0","0","0","7"
"65","DISTRICT","Panchthar","Male","27389","2321","8406","5358","2987","2","66","9","1604","3187","2906","16","13","509","0","0","0","0","0","5"
