"ID","AREA_TYPE","AREA_NAME","SEX","TOTAL_POPULATION","WORKED_6_MONTHS_PLUS","WORKED_3_TO_5_MONTHS","WORKED_LESS_THAN_3_MONTHS","NO_ECONOMIC_WORK"
"26","Province","Bagmati","Male","2595088","1409287","176875","170692","838234"
"27","Province","Bagmati","Female","2665603","951234","273737","264871","1175761"
"28","Province","Gandaki","Total","2095474","877477","234551","208166","775280"
"29","Province","Gandaki","Male","973399","468976","92450","82331","329642"
"30","Province","Gandaki","Female","1122075","408501","142101","125835","445638"
"31","Province","Lumbini","Total","4184299","1617420","546975","461530","1558374"
"32","Province","Lumbini","Male","1963780","948885","216204","177194","621497"
"33","Province","Lumbini","Female","2220519","668535","330771","284336","936877"
"34","Province","Karnali","Total","1337893","568570","188345","169425","411553"
"35","Province","Karnali","Male","641858","301482","79398","74578","186400"
"36","Province","Karnali","Female","696035","267088","108947","94847","225153"
"37","Province","Sudur Paschim","Total","2183404","850496","332848","296277","703783"
"38","Province","Sudur Paschim","Male","1003253","447284","130881","122167","302921"
"39","Province","Sudur Paschim","Female","1180151","403212","201967","174110","400862"
"40","District","Taplejung","Total","98654","47884","15223","9774","25773"
"41","District","Taplejung","Male","49590","27162","6802","4340","11286"
"42","District","Taplejung","Female","49064","20722","8421","5434","14487"
"43","District","Sankhuwasabha","Total","130866","80581","20092","18167","12026"
"44","District","Sankhuwasabha","Male","65497","42895","8828","8510","5264"
"45","District","Sankhuwasabha","Female","65369","37686","11264","9657","6762"
"46","District","Solukhumbu","Total","87163","46971","10974","9196","20022"
"47","District","Solukhumbu","Male","43621","24573","5153","4512","9383"
"48","District","Solukhumbu","Female","43542","22398","5821","4684","10639"
"49","District","Okhaldhunga","Total","118136","46518","24959","13592","33067"
"50","District","Okhaldhunga","Male","57265","24459","11539","5908","15359"
"51","District","Okhaldhunga","Female","60871","22059","13420","7684","17708"
"52","District","Khotang","Total","144328","90880","18870","12841","21737"
"53","District","Khotang","Male","70847","46385","8451","6069","9942"
"54","District","Khotang","Female","73481","44495","10419","6772","11795"
"55","District","Bhojpur","Total","131255","72554","16328","14380","27993"
"56","District","Bhojpur","Male","64697","38439","6908","6582","12768"
"57","District","Bhojpur","Female","66558","34115","9420","7798","15225"
"58","District","Dhankuta","Total","127067","77149","15415","12849","21654"
"59","District","Dhankuta","Male","61717","39713","6605","5879","9520"
"60","District","Dhankuta","Female","65350","37436","8810","6970","12134"
"61","District","Terhathum","Total","73855","44772","11551","7945","9587"
"62","District","Terhathum","Male","35960","23193","4915","3590","4262"
"63","District","Terhathum","Female","37895","21579","6636","4355","5325"
"64","District","Panchthar","Total","142625","74711","18262","13919","35733"
"65","District","Panchthar","Male","70558","40957","7898","6029","15674"
"66","District","Panchthar","Female","72067","33754","10364","7890","20059"
"67","District","Ilam","Total","240178","137651","23756","18827","59944"
"68","District","Ilam","Male","119208","75838","10029","7791","25550"
"69","District","Ilam","Female","120970","61813","13727","11036","34394"
"70","District","Jhapa","Total","836742","402056","86161","91852","256673"
"71","District","Jhapa","Male","394736","229195","31577","35118","98846"
"72","District","Jhapa","Female","442006","172861","54584","56734","157827"
"73","District","Morang","Total","956641","408526","104856","89553","353706"
"74","District","Morang","Male","458788","256012","37258","32137","133381"
"75","District","Morang","Female","497853","152514","67598","57416","220325"
"76","District","Sunsari","Total","759423","298859","68314","67328","324922"
"77","District","Sunsari","Male","362277","191840","24068","22958","123411"
"78","District","Sunsari","Female","397146","107019","44246","44370","201511"
"79","District","Udayapur","Total","280161","128341","35175","26476","90169"
"80","District","Udayapur","Male","132374","69270","14646","10849","37609"
"81","District","Udayapur","Female","147787","59071","20529","15627","52560"
