"ID","AREA_TYPE","AREA_NAME","SEX","TOTAL_WORKERS","ARMED_FORCES","MANAGERS","PROFESSIONALS","TECHNICIANS","OFFICE_ASSISTANCE","SERVICE_SALE_WORKERS","AGRICULTURE_FORESTRY_FISHERY","CRAFT_TRADE_WORKERS","PLANT_MACHINE_OPERATORS","ELEMENTARY_WORKERS","NOT_STATED"
"170","District","Syangja","Male","65799","374","3567","2943","763","641","3307","37661","4366","3109","8904","164"
"171","District","Syangja","Female","78517","15","2420","2799","598","700","2832","55682","917","157","12219","178"
"172","District","Parbat","Total","71185","411","3530","3395","885","720","2655","42540","2805","1655","12477","112"
"173","District","Parbat","Male","33533","387","2042","1887","519","357","1342","17764","2325","1588","5258","64"
"174","District","Parbat","Female","37652","24","1488","1508","366","363","1313","24776","480","67","7219","48"
"175","District","Baglung","Total","131653","959","5720","5481","1587","1215","4460","82591","4790","2075","22538","237"
"176","District","Baglung","Male","60672","894","3509","2642","818","594","2423","33982","4084","1987","9627","112"
"177","District","Baglung","Female","70981","65","2211","2839","769","621","2037","48609","706","88","12911","125"
"178","District","Rukum (East)","Total","34591","39","838","824","243","207","623","27601","571","141","3119","385"
"179","District","Rukum (East)","Male","16788","32","509","488","140","118","367","12908","470","135","1465","156"
"180","District","Rukum (East)","Female","17803","7","329","336","103","89","256","14693","101","6","1654","229"
"181","District","Rolpa","Total","122620","727","2564","2925","963","624","3067","86595","3529","1133","20290","203"
"182","District","Rolpa","Male","57453","681","1520","1651","503","368","1822","37659","2595","1048","9497","109"
"183","District","Rolpa","Female","65167","46","1044","1274","460","256","1245","48936","934","85","10793","94"
"184","District","Pyuthan","Total","117610","906","3742","3522","971","784","3808","77706","4243","1604","20235","89"
"185","District","Pyuthan","Male","51114","856","2267","1902","568","477","2270","29133","3486","1526","8586","43"
"186","District","Pyuthan","Female","66496","50","1475","1620","403","307","1538","48573","757","78","11649","46"
"187","District","Gulmi","Total","152504","240","5730","5173","1297","979","3898","109930","5081","1824","18276","76"
"188","District","Gulmi","Male","66890","220","3611","2689","710","543","2226","42821","4311","1734","7978","47"
"189","District","Gulmi","Female","85614","20","2119","2484","587","436","1672","67109","770","90","10298","29"
"190","District","Arghakhanchi","Total","95631","271","3871","3308","924","769","3081","63473","3347","1684","14875","28"
"191","District","Arghakhanchi","Male","42541","254","2500","1848","522","446","1907","24495","2801","1600","6147","21"
"192","District","Arghakhanchi","Female","53090","17","1371","1460","402","323","1174","38978","546","84","8728","7"
"193","District","Palpa","Total","162479","738","7672","5569","2179","1564","5670","112624","6344","3129","16682","308"
"194","District","Palpa","Male","73714","690","4878","2822","1045","784","3098","44627","5151","3037","7426","156"
"195","District","Palpa","Female","88765","48","2794","2747","1134","780","2572","67997","1193","92","9256","152"
"196","District","Nawalparasi (West)","Total","198258","742","9350","5709","2572","1858","10001","97288","13458","7193","49860","227"
"197","District","Nawalparasi (West)","Male","105842","677","6292","3185","1682","1115","6947","44188","11324","6968","23329","135"
"198","District","Nawalparasi (West)","Female","92416","65","3058","2524","890","743","3054","53100","2134","225","26531","92"
"199","District","Rupandehi","Total","518818","3882","37560","18962","10965","7222","33606","204169","37523","20367","144048","514"
"200","District","Rupandehi","Male","288731","3654","27553","11108","6891","4053","23163","99409","31621","19514","61446","319"
"201","District","Rupandehi","Female","230087","228","10007","7854","4074","3169","10443","104760","5902","853","82602","195"
"202","District","Kapilbastu","Total","322371","831","10303","8071","2796","1869","12523","180779","13920","7034","84027","218"
"203","District","Kapilbastu","Male","176679","780","7732","4827","1963","1170","9356","94775","11824","6780","37331","141"
"204","District","Kapilbastu","Female","145692","51","2571","3244","833","699","3167","86004","2096","254","46696","77"
"205","District","Dang","Total","342995","2410","15685","11225","4288","3021","15670","172467","24571","11173","82109","376"
"206","District","Dang","Male","173346","2221","10400","6377","2774","1750","9414","74235","20097","10692","35152","234"
"207","District","Dang","Female","169649","189","5285","4848","1514","1271","6256","98232","4474","481","46957","142"
"208","District","Banke","Total","284320","2130","14359","9625","5503","3542","20240","116776","16945","8428","86307","465"
"209","District","Banke","Male","156318","1939","10216","5495","3709","2180","13556","55182","14406","8014","41346","275"
"210","District","Banke","Female","128002","191","4143","4130","1794","1362","6684","61594","2539","414","44961","190"
"211","District","Bardiya","Total","273728","1293","7386","5689","2156","1730","9768","168500","14626","4868","57486","226"
"212","District","Bardiya","Male","132867","1203","4729","3268","1336","973","6032","68334","12250","4653","29942","147"
"213","District","Bardiya","Female","140861","90","2657","2421","820","757","3736","100166","2376","215","27544","79"
"214","District","Dolpa","Total","19875","217","927","624","258","149","771","12359","258","52","4222","38"
"215","District","Dolpa","Male","10765","217","706","439","171","115","536","6306","228","46","1977","24"
"216","District","Dolpa","Female","9110","0","221","185","87","34","235","6053","30","6","2245","14"
"217","District","Mugu","Total","33599","243","1266","955","378","313","1194","24637","555","155","3882","21"
"218","District","Mugu","Male","16862","241","825","642","245","255","751","11313","489","150","1938","13"
"219","District","Mugu","Female","16737","2","441","313","133","58","443","13324","66","5","1944","8"
"220","District","Humla","Total","30311","232","712","982","376","241","768","23232","304","133","3311","20"
"221","District","Humla","Male","15371","231","503","730","252","176","575","10937","272","122","1563","10"
"222","District","Humla","Female","14940","1","209","252","124","65","193","12295","32","11","1748","10"
"223","District","Jumla","Total","62721","436","1659","1674","985","598","2317","44242","1464","402","8838","106"
"224","District","Jumla","Male","31178","393","1110","1153","661","445","1641","19677","1305","385","4364","44"
"225","District","Jumla","Female","31543","43","549","521","324","153","676","24565","159","17","4474","62"
"226","District","Kalikot","Total","75783","237","2209","2128","654","420","1987","56786","1444","185","9681","52"
"227","District","Kalikot","Male","37822","235","1433","1407","418","298","1229","26531","1219","175","4848","29"
"228","District","Kalikot","Female","37961","2","776","721","236","122","758","30255","225","10","4833","23"
"229","District","Dailekh","Total","132703","382","3542","3825","1117","808","3756","96260","2895","908","19092","118"
"230","District","Dailekh","Male","63272","369","2131","2443","656","537","2196","42735","2338","842","8973","52"
"231","District","Dailekh","Female","69431","13","1411","1382","461","271","1560","53525","557","66","10119","66"
"232","District","Jajarkot","Total","113022","642","2499","2460","903","542","2790","89500","2980","427","10201","78"
"233","District","Jajarkot","Male","56616","606","1649","1550","553","353","1506","42101","2409","406","5436","47"
"234","District","Jajarkot","Female","56406","36","850","910","350","189","1284","47399","571","21","4765","31"
"235","District","Rukum (West)","Total","103216","845","2840","3123","940","584","3033","73325","4007","718","13686","115"
"236","District","Rukum (West)","Male","49821","804","1801","2107","579","345","1662","31837","3282","683","6678","43"
"237","District","Rukum (West)","Female","53395","41","1039","1016","361","239","1371","41488","725","35","7008","72"
"238","District","Salyan","Total","139576","762","3340","3267","950","648","3169","104030","4300","1673","17362","75"
"239","District","Salyan","Male","67372","721","2151","1970","555","379","1738","45725","3433","1590","9067","43"
"240","District","Salyan","Female","72204","41","1189","1297","395","269","1431","58305","867","83","8295","32"
"241","District","Surkhet","Total","215534","3185","10777","7606","3515","2269","11269","122422","9370","4908","40024","199"
"242","District","Surkhet","Male","106379","2950","6690","4406","2157","1318","6677","51818","7624","4669","17957","113"
"243","District","Surkhet","Female","109155","235","4087","3200","1358","951","4592","70604","1746","239","22067","86"
"244","District","Bajura","Total","72653","494","1419","2050","667","455","2156","54998","939","253","9195","27"
"245","District","Bajura","Male","34876","485","965","1425","438","338","1348","24450","725","240","4447","15"
"246","District","Bajura","Female","37777","9","454","625","229","117","808","30548","214","13","4748","12"
"247","District","Bajhang","Total","103037","75","2063","3380","872","585","2680","76324","2133","490","14395","40"
"248","District","Bajhang","Male","47404","69","1496","2531","548","435","1897","31686","1690","462","6566","24"
"249","District","Bajhang","Female","55633","6","567","849","324","150","783","44638","443","28","7829","16"
"250","District","Darchula","Total","68786","597","1572","2616","782","572","2385","46325","1481","402","12038","16"
"251","District","Darchula","Male","34026","580","1245","1730","486","425","1888","20332","1229","386","5716","9"
"252","District","Darchula","Female","34760","17","327","886","296","147","497","25993","252","16","6322","7"
"253","District","Baitadi","Total","136751","478","2361","4081","985","566","3206","100934","3562","1012","19514","52"
"254","District","Baitadi","Male","63776","455","1802","2787","630","434","2654","41313","2924","975","9765","37"
"255","District","Baitadi","Female","72975","23","559","1294","355","132","552","59621","638","37","9749","15"
"256","District","Dadeldhura","Total","76192","808","2634","2486","935","560","2171","53175","1976","1040","10384","23"
"257","District","Dadeldhura","Male","35653","767","1940","1598","584","376","1606","21195","1605","1002","4962","18"
"258","District","Dadeldhura","Female","40539","41","694","888","351","184","565","31980","371","38","5422","5"
"259","District","Doti","Total","106195","1174","2308","3119","1014","678","3338","78892","1589","704","13351","28"
"260","District","Doti","Male","45731","1112","1625","2067","644","475","2372","29598","1186","667","5969","16"
"261","District","Doti","Female","60464","62","683","1052","370","203","966","49294","403","37","7382","12"
"262","District","Achham","Total","135694","677","3081","3698","1144","646","3038","110037","1974","507","10869","23"
"263","District","Achham","Male","59911","643","2159","2440","618","479","1966","44398","1551","479","5165","13"
"264","District","Achham","Female","75783","34","922","1258","526","167","1072","65639","423","28","5704","10"
"265","District","Kailali","Total","469423","2633","20906","15435","6238","4398","24966","238469","29615","11522","114891","350"
"266","District","Kailali","Male","235438","2406","14393","9254","3989","2728","16471","99025","23424","10982","52556","210"
"267","District","Kailali","Female","233985","227","6513","6181","2249","1670","8495","139444","6191","540","62335","140"
"268","District","Kanchanpur","Total","310890","1694","9901","8160","3053","2028","12617","206203","12789","6213","48068","164"
"269","District","Kanchanpur","Male","143517","1588","7196","4877","1977","1281","8505","78564","10112","5962","23354","101"
"270","District","Kanchanpur","Female","167373","106","2705","3283","1076","747","4112","127639","2677","251","24714","63"
"1","Country","Nepal","Total","14983310","104669","771445","568690","278586","197196","870619","7502385","835914","402127","3438931","12748"
"2","Country","Nepal","Male","7876322","95804","522645","341992","179889","112963","560675","3458947","683511","382019","1530496","7381"
"3","Country","Nepal","Female","7106988","8865","248800","226698","98697","84233","309944","4043438","152403","20108","1908435","5367"
"4","Urban/Rural","Urban Municipalities","Total","9548202","89359","630711","431026","235003","169077","709906","3882801","619773","309179","2463565","7802"
"5","Urban/Rural","Urban Municipalities","Male","5117751","81442","431266","258600","152137","95300","456210","1772765","498900","292824","1073625","4682"
"6","Urban/Rural","Urban Municipalities","Female","4430451","7917","199445","172426","82866","73777","253696","2110036","120873","16355","1389940","3120"
"7","Urban/Rural","Rural Municipalities","Total","5435108","15310","140734","137664","43583","28119","160713","3619584","216141","92948","975366","4946"
"8","Urban/Rural","Rural Municipalities","Male","2758571","14362","91379","83392","27752","17663","104465","1686182","184611","89195","456871","2699"
"9","Urban/Rural","Rural Municipalities","Female","2676537","948","49355","54272","15831","10456","56248","1933402","31530","3753","518495","2247"
"10","Ecological Belt","Mountain","Total","1038587","6550","32648","31716","11168","7112","35754","752784","26852","11379","122103","521"
"11","Ecological Belt","Mountain","Male","518910","6260","20817","19994","7044","4656","22896","344332","22531","10897","59197","286"
"12","Ecological Belt","Mountain","Female","519677","290","11831","11722","4124","2456","12858","408452","4321","482","62906","235"
