"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL","EARLY_CHILDHOOD","PRIMARY_LEVEL","LOWER_SECONDARY","UPPER_SECONDARY","SLC_SEE_EQUIVALENT","INTERMEDIATE_EQUIVALENT","GRADUATE_EQUIVALENT","POST_GRADUATE_EQUIVALENT","OTHER","NO_LEVEL","LEVEL_NOT_STATED"
"143","DISTRICT","Chitawan","Male","288487","10539","75103","54941","39831","33680","45382","15711","8069","225","3600","1406"
"144","DISTRICT","Chitawan","Female","271116","8729","66967","51605","38196","29483","47204","14416","5219","346","7123","1828"
"145","DISTRICT","Gorkha","Total","171172","5328","54613","37794","23287","14031","19489","4844","2676","260","5747","3103"
"146","DISTRICT","Gorkha","Male","88611","2829","29302","19235","12294","7792","9460","2413","1627","104","2242","1313"
"147","DISTRICT","Gorkha","Female","82561","2499","25311","18559","10993","6239","10029","2431","1049","156","3505","1790"
"148","DISTRICT","Manang","Total","4169","123","1038","731","342","524","980","146","89","0","181","15"
"149","DISTRICT","Manang","Male","2629","64","601","449","242","408","594","107","77","0","76","11"
"150","DISTRICT","Manang","Female","1540","59","437","282","100","116","386","39","12","0","105","4"
"151","DISTRICT","Mustang","Total","10480","522","3306","2087","1092","1025","1326","347","208","73","269","225"
"152","DISTRICT","Mustang","Male","6371","279","1843","1314","707","685","806","247","172","29","174","115"
"153","DISTRICT","Mustang","Female","4109","243","1463","773","385","340","520","100","36","44","95","110"
"154","DISTRICT","Myagdi","Total","78917","2629","23877","16646","11163","8662","9502","1985","1005","113","2286","1049"
"155","DISTRICT","Myagdi","Male","42110","1397","12914","8936","6389","4895","4640","1082","689","25","715","428"
"156","DISTRICT","Myagdi","Female","36807","1232","10963","7710","4774","3767","4862","903","316","88","1571","621"
"157","DISTRICT","Kaski","Total","495874","16107","101988","86243","78346","59025","91290","32883","15593","355","4837","9207"
"158","DISTRICT","Kaski","Male","255498","8894","52496","43860","40747","32451","45308","16798","9707","126","1406","3705"
"159","DISTRICT","Kaski","Female","240376","7213","49492","42383","37599","26574","45982","16085","5886","229","3431","5502"
"160","DISTRICT","Lamjung","Total","114207","3654","31465","23891","17666","10915","15160","4282","1938","66","3077","2093"
"161","DISTRICT","Lamjung","Male","59371","1926","16620","12338","9762","6249","7419","2042","1227","25","941","822"
"162","DISTRICT","Lamjung","Female","54836","1728","14845","11553","7904","4666","7741","2240","711","41","2136","1271"
"163","DISTRICT","Tanahu","Total","245279","8142","68128","54376","38468","25873","29783","8047","3630","346","4389","4097"
"164","DISTRICT","Tanahu","Male","123655","4380","35572","26914","19655","14184","13965","3701","2160","119","1384","1621"
"165","DISTRICT","Tanahu","Female","121624","3762","32556","27462","18813","11689","15818","4346","1470","227","3005","2476"
"166","DISTRICT","Nawalparasi (East)","Total","289118","12054","79399","59978","44416","29393","39318","10433","4515","225","5725","3662"
"167","DISTRICT","Nawalparasi (East)","Male","144765","6492","41947","30465","21772","15174","18231","4944","2714","65","1594","1367"
"168","DISTRICT","Nawalparasi (East)","Female","144353","5562","37452","29513","22644","14219","21087","5489","1801","160","4131","2295"
"169","DISTRICT","Syangja","Total","193607","5876","48209","38576","35979","20015","27395","7243","3453","156","3937","2768"
"170","DISTRICT","Syangja","Male","97002","3155","24396","19419","18299","10679","12871","3494","2182","64","1337","1106"
"171","DISTRICT","Syangja","Female","96605","2721","23813","19157","17680","9336","14524","3749","1271","92","2600","1662"
"172","DISTRICT","Parbat","Total","97810","3396","24210","18310","16465","12914","14127","3567","1616","198","1572","1435"
"173","DISTRICT","Parbat","Male","50125","1850","12603","9239","8547","6960","6706","1906","1132","48","552","582"
"174","DISTRICT","Parbat","Female","47685","1546","11607","9071","7918","5954","7421","1661","484","150","1020","853"
"175","DISTRICT","Baglung","Total","184521","7177","56151","36789","27553","16148","23796","5065","2445","170","6747","2480"
"176","DISTRICT","Baglung","Male","92511","3803","29146","18385","14344","8717","11119","2375","1619","60","1992","951"
"177","DISTRICT","Baglung","Female","92010","3374","27005","18404","13209","7431","12677","2690","826","110","4755","1529"
"178","DISTRICT","Rukum (East)","Total","37010","1687","12882","7929","5578","2559","3877","688","353","3","884","570"
"179","DISTRICT","Rukum (East)","Male","19787","854","7043","4297","3113","1434","1827","361","237","0","391","230"
"180","DISTRICT","Rukum (East)","Female","17223","833","5839","3632","2465","1125","2050","327","116","3","493","340"
"181","DISTRICT","Rolpa","Total","160457","7053","65460","37771","19911","9256","11081","2189","995","49","5295","1397"
"182","DISTRICT","Rolpa","Male","82228","3688","35018","19706","9953","4752","5185","1172","691","13","1551","499"
"183","DISTRICT","Rolpa","Female","78229","3365","30442","18065","9958","4504","5896","1017","304","36","3744","898"
"184","DISTRICT","Pyuthan","Total","168732","7448","66925","39690","19988","10065","11855","2917","1384","51","6210","2199"
"185","DISTRICT","Pyuthan","Male","81713","3842","33799","18898","9893","5090","5468","1550","964","16","1439","754"
"186","DISTRICT","Pyuthan","Female","87019","3606","33126","20792","10095","4975","6387","1367","420","35","4771","1445"
"187","DISTRICT","Gulmi","Total","182298","8202","59296","39136","26185","16785","17744","4600","2080","92","6181","1997"
"188","DISTRICT","Gulmi","Male","89445","4426","30586","19041","12636","8405","8069","2345","1407","43","1756","731"
"189","DISTRICT","Gulmi","Female","92853","3776","28710","20095","13549","8380","9675","2255","673","49","4425","1266"
"190","DISTRICT","Arghakhanchi","Total","130969","5229","42057","28210","19775","14638","11781","2955","1562","105","3467","1190"
"191","DISTRICT","Arghakhanchi","Male","64153","2811","21788","13674","9120","7049","5436","1562","1079","45","1135","454"
"192","DISTRICT","Arghakhanchi","Female","66816","2418","20269","14536","10655","7589","6345","1393","483","60","2332","736"
"193","DISTRICT","Palpa","Total","190639","6163","56508","40935","31135","17940","21422","6031","3263","133","5268","1841"
"194","DISTRICT","Palpa","Male","93634","3213","28867","20148","15390","9401","9735","2831","2003","31","1374","641"
"195","DISTRICT","Palpa","Female","97005","2950","27641","20787","15745","8539","11687","3200","1260","102","3894","1200"
"196","DISTRICT","Nawalparasi (West)","Total","279186","14780","82805","61764","45948","22353","32602","8218","3192","497","4873","2154"
"197","DISTRICT","Nawalparasi (West)","Male","148877","8037","44893","33891","24600","12251","16545","4248","1990","167","1399","856"
"198","DISTRICT","Nawalparasi (West)","Female","130309","6743","37912","27873","21348","10102","16057","3970","1202","330","3474","1298"
